"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
128,"pasta","word","food_drink",0.03,0.03,0.1,0.11,0.19,0.22,0.34,0.38,0.44,0.51,0.63,0.68,0.73,0.75,0.8,0.75,0.83,0.83,0.85,0.89,0.88
129,"tyggegummi","word","food_drink",0,0.01,0.02,0.02,0.04,0.05,0.04,0.12,0.24,0.3,0.42,0.45,0.48,0.57,0.65,0.67,0.8,0.77,0.79,0.82,0.84
130,"gulerødder","word","food_drink",0.02,0.07,0.13,0.14,0.3,0.33,0.49,0.51,0.6,0.65,0.86,0.81,0.84,0.87,0.92,0.95,0.97,0.98,0.98,0.99,0.99
131,"peanutbutter","word","food_drink",0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.01,0.03,0.04,0.02,0.05,0.11,0.07,0.06,0.05,0.1
132,"vand (beverage)","word","food_drink",0.12,0.14,0.25,0.31,0.48,0.46,0.68,0.68,0.83,0.86,0.92,0.91,0.91,0.93,0.96,0.97,0.98,0.99,0.99,0.97,1
133,"grød","word","food_drink",0.05,0.05,0.11,0.11,0.21,0.2,0.33,0.34,0.43,0.53,0.62,0.66,0.64,0.72,0.79,0.71,0.76,0.8,0.79,0.85,0.86
134,"pizza","word","food_drink",0.03,0.03,0.11,0.12,0.22,0.29,0.4,0.45,0.57,0.63,0.75,0.76,0.78,0.84,0.9,0.89,0.96,0.92,0.95,0.96,0.98
135,"vindruer","word","food_drink",0.02,0.03,0.04,0.05,0.13,0.11,0.29,0.28,0.37,0.47,0.55,0.56,0.61,0.69,0.74,0.8,0.85,0.89,0.87,0.91,0.93
136,"havregryn","word","food_drink",0.03,0.06,0.09,0.09,0.14,0.2,0.29,0.34,0.41,0.53,0.6,0.69,0.67,0.74,0.8,0.8,0.84,0.87,0.87,0.9,0.91
137,"pomfritter","word","food_drink",0,0.01,0.07,0.05,0.11,0.13,0.18,0.24,0.36,0.43,0.6,0.62,0.63,0.7,0.76,0.78,0.83,0.87,0.89,0.86,0.93
138,"vingummi","word","food_drink",0.01,0.02,0.08,0.03,0.08,0.12,0.25,0.22,0.4,0.49,0.58,0.64,0.67,0.75,0.84,0.8,0.92,0.94,0.89,0.92,0.94
139,"is","word","food_drink",0.19,0.28,0.48,0.6,0.69,0.74,0.86,0.87,0.92,0.92,0.98,0.97,0.98,0.97,0.98,0.98,0.99,1,0.99,1,1
140,"popcorn","word","food_drink",0.02,0.02,0.06,0.05,0.11,0.14,0.27,0.32,0.39,0.47,0.63,0.66,0.66,0.71,0.82,0.85,0.89,0.89,0.91,0.91,0.94
141,"vitaminer","word","food_drink",0.02,0.03,0.08,0.08,0.13,0.15,0.28,0.32,0.32,0.38,0.5,0.55,0.61,0.61,0.66,0.67,0.73,0.79,0.73,0.83,0.85
