"num_item_id","definition","type","category","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
127,"вода","word","food_drink",0.19,0.24,0.38,0.58,0.63,0.64,0.69,0.82,0.85,0.8,0.9,0.91,0.91,0.95,0.91,0.93,0.95,0.96,0.98
128,"груша","word","food_drink",0.1,0.32,0.31,0.42,0.55,0.55,0.69,0.64,0.75,0.68,0.78,0.9,0.78,0.85,0.84,0.87,0.83,0.94,0.92
129,"горох","word","food_drink",0,0.05,0.09,0.16,0.24,0.23,0.38,0.33,0.4,0.4,0.5,0.64,0.44,0.59,0.62,0.65,0.6,0.68,0.65
130,"грибы","word","food_drink",0.02,0.15,0.13,0.33,0.24,0.46,0.49,0.48,0.54,0.58,0.7,0.66,0.66,0.77,0.8,0.84,0.74,0.81,0.86
131,"еда","word","food_drink",0.07,0.1,0.13,0.26,0.24,0.34,0.33,0.41,0.31,0.43,0.42,0.53,0.56,0.54,0.64,0.64,0.69,0.7,0.78
132,"изюм","word","food_drink",0.05,0.05,0.07,0.12,0.22,0.14,0.31,0.3,0.29,0.47,0.38,0.48,0.45,0.61,0.58,0.62,0.62,0.64,0.59
133,"йогурт","word","food_drink",0.1,0.15,0.11,0.33,0.25,0.32,0.46,0.52,0.42,0.62,0.65,0.76,0.68,0.7,0.8,0.78,0.91,0.81,0.86
134,"капуста","word","food_drink",0.07,0.17,0.18,0.33,0.39,0.46,0.48,0.5,0.52,0.62,0.62,0.76,0.73,0.82,0.82,0.76,0.88,0.85,0.92
135,"картошка","word","food_drink",0.12,0.2,0.36,0.42,0.49,0.55,0.61,0.65,0.65,0.75,0.83,0.88,0.83,0.9,0.91,0.91,0.91,0.94,0.94
136,"каша","word","food_drink",0.31,0.41,0.51,0.7,0.65,0.77,0.79,0.88,0.9,0.93,0.93,1,0.88,0.97,0.91,0.93,0.97,0.96,1
137,"кефир","word","food_drink",0.02,0.07,0.2,0.23,0.31,0.36,0.46,0.47,0.44,0.53,0.57,0.71,0.66,0.61,0.78,0.69,0.74,0.83,0.8
138,"киви","word","food_drink",0.05,0.07,0.07,0.12,0.22,0.25,0.34,0.41,0.37,0.42,0.45,0.59,0.48,0.41,0.53,0.55,0.59,0.64,0.71
139,"колбаса","word","food_drink",0.07,0.22,0.29,0.33,0.59,0.62,0.57,0.7,0.63,0.7,0.77,0.86,0.81,0.93,0.89,0.91,0.93,0.91,0.94
140,"компот","word","food_drink",0.12,0.12,0.13,0.21,0.29,0.38,0.56,0.45,0.48,0.58,0.67,0.71,0.71,0.74,0.76,0.8,0.78,0.79,0.86
141,"конфета","word","food_drink",0.26,0.29,0.4,0.37,0.53,0.73,0.66,0.77,0.75,0.75,0.85,0.93,0.88,0.95,0.95,0.96,0.93,0.98,1
142,"котлета","word","food_drink",0.17,0.17,0.22,0.33,0.37,0.43,0.43,0.52,0.52,0.58,0.77,0.84,0.73,0.82,0.84,0.91,0.86,0.94,0.96
143,"кофе","word","food_drink",0.02,0.07,0.09,0.19,0.31,0.36,0.41,0.44,0.42,0.52,0.65,0.59,0.55,0.62,0.69,0.65,0.74,0.7,0.8
144,"кукуруза","word","food_drink",0.02,0.02,0.07,0.19,0.12,0.18,0.33,0.24,0.29,0.37,0.38,0.47,0.51,0.44,0.44,0.56,0.62,0.57,0.63
145,"курица (food)","word","food_drink",0.05,0.12,0.16,0.35,0.35,0.34,0.52,0.55,0.48,0.62,0.75,0.84,0.71,0.87,0.78,0.8,0.84,0.85,0.9
146,"лук","word","food_drink",0.05,0.22,0.24,0.28,0.53,0.55,0.57,0.58,0.6,0.67,0.83,0.84,0.79,0.85,0.82,0.76,0.91,0.85,0.92
147,"макароны","word","food_drink",0.07,0.24,0.29,0.37,0.47,0.5,0.61,0.64,0.65,0.73,0.82,0.9,0.78,0.85,0.87,0.85,0.9,0.89,0.94
148,"малина","word","food_drink",0.02,0.05,0.09,0.14,0.2,0.27,0.36,0.21,0.38,0.37,0.53,0.64,0.49,0.59,0.71,0.69,0.78,0.7,0.71
149,"мандарин","word","food_drink",0.05,0.07,0.11,0.26,0.29,0.25,0.43,0.35,0.5,0.55,0.58,0.62,0.64,0.75,0.78,0.69,0.71,0.85,0.82
150,"масло","word","food_drink",0.07,0.15,0.18,0.44,0.43,0.48,0.52,0.56,0.65,0.72,0.85,0.9,0.75,0.87,0.84,0.84,0.86,0.77,0.96
151,"мед","word","food_drink",0,0.02,0.07,0.21,0.16,0.3,0.44,0.3,0.35,0.47,0.53,0.67,0.51,0.56,0.65,0.58,0.62,0.66,0.8
152,"молоко","word","food_drink",0.19,0.22,0.27,0.49,0.59,0.64,0.69,0.7,0.73,0.82,0.83,0.93,0.82,0.95,0.89,0.91,0.95,0.96,0.98
153,"морковка","word","food_drink",0.07,0.12,0.18,0.33,0.37,0.5,0.62,0.55,0.58,0.65,0.82,0.81,0.75,0.8,0.89,0.84,0.83,0.87,0.92
154,"мороженое","word","food_drink",0.1,0.05,0.11,0.19,0.14,0.29,0.44,0.52,0.44,0.5,0.6,0.79,0.73,0.8,0.87,0.8,0.84,0.85,0.9
